KBase Phylo Ref	KBase Phylo ObjName	KBase DB Ref	KBase DB ObjName	NCBI TaxID	GOLD ID	IMG ID	RefSeq ID	GenBank / INSDC	Genbank/RefSeq Assembly	Code	Species Name	Isolate / MAG	Domain	Phylum	Class	Order	Full Lineage
		19217/155565/3	GCF_000724625.1	661478	Go0011962	2585427636	NZ_CP007139.1	CP007139.1	GCF_000724625.1_ASM72462v1		Fimbriimonas ginsengisoli Gsoil 348	Isolate	Bacteria	Armatimonadetes	Fimbriimonadia		cellular organisms; Bacteria; Terrabacteria group; Armatimonadetes; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; Fimbriimonas; Fimbriimonas ginsengisoli
				2099669	N/A	N/A	N/A	PXBW00000000.1	GCA_003566775.1_ASM356677v1		candidate division WS1 bacterium	MAG	Bacteria	candidate division WS1	candidate division WS1		cellular organisms; Bacteria; Terrabacteria group; candidate division WS1; unclassified candidate division WS1
		19217/48973/3	GCF_000018865.1	480224	Go0001329	643692015	NC_010175.1	CP000909.1	GCF_000018865.1_ASM1886v1		Chloroflexus aurantiacus Y-400-fl	Isolate	Bacteria	Chloroflexi	Chloroflexia		cellular organisms; Bacteria; Terrabacteria group; Chloroflexi; Chloroflexia; Chloroflexales; Chloroflexineae; Chloroflexaceae; Chloroflexus; Chloroflexus aurantiacus
		19217/123429/3	GCF_000020945.1	309798	Go0001352	643348530	NC_011295.1	CP001145.1	GCF_000020945.1_ASM2094v1		Coprothermobacter proteolyticus DSM 5265	Isolate	Bacteria	Coprothermobacterota	Coprothermobacteria		cellular organisms; Bacteria; Terrabacteria group; Coprothermobacterota; Coprothermobacteria; Coprothermobacterales; Coprothermobacteraceae; Coprothermobacter; Coprothermobacter proteolyticus
		19217/137293/3	GCF_000195975.1	84588	Go0000622	637000314	NC_005070.1	BX548020.1	GCF_000195975.1_ASM19597v1		Synechococcus sp. WH 8102	Isolate	Bacteria	Cyanobacteria	Cyanobacteria		cellular organisms; Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus
				2184343	N/A	N/A	N/A	QFBQ01000001.1	GCA_003265885.1_ASM326588v1		Candidatus Marinamargulisbacteria bacterium SCGC AG-343-D04	SAG	Bacteria	Candidatus Margulisbacteria	Candidatus Margulisbacteria		cellular organisms; Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Candidatus Margulisbacteria; Candidatus Marinamargulisbacteria
				1916229	N/A	N/A	N/A	DABH00000000.1	GCA_002102745.1_ASM210274v1		Candidatus Gastranaerophilales bacterium HUM_10	MAG	Bacteria	Candidatus Melainabacteria	Candidatus Melainabacteria		cellular organisms; Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Candidatus Melainabacteria; Candidatus Gastranaerophilales
				1802576	N/A	2713897351	N/A	METY00000000.1	GCA_001771465.1_ASM177146v1		candidate division WOR-1 bacterium RIFOXYA2_FULL_51_19	MAG	Bacteria	Candidatus Saganbacteria	Candidatus Saganbacteria		cellular organisms; Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Candidatus Saganbacteria
				1919279	N/A	N/A	N/A	DAZV00000000.1	GCA_002083825.1_ASM208382v1		Candidatus Sericytochromatia bacterium S15B-MN24 CBMW_12	MAG	Bacteria	Candidatus Sericytochromatia	Candidatus Sericytochromatia		cellular organisms; Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Candidatus Sericytochromatia
		19217/208628/2	GCF_000008565.1	243230	Go0144241	2687453506	NC_001263.1 , NC_001264.1	AE000513.1 , AE001825.1	GCF_000008565.1_ASM856v1		Deinococcus radiodurans R1	Isolate	Bacteria	Deinococcus-Thermus	Deinococci		cellular organisms; Bacteria; Terrabacteria group; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae; Deinococcus; Deinococcus radiodurans
		19217/211670/4	GCF_000009045.1	224308	Go0000781	646311909	NC_000964.3	AL009126.3	GCF_000009045.1_ASM904v1	11	Bacillus subtilis subsp. subtilis str. 168	Isolate	Bacteria	Firmicutes	Bacilli	Bacillales	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group; Bacillus subtilis; Bacillus subtilis subsp. subtilis
		19217/134308/2	GCF_000011985.1	272621	Go0000501	637000138	NC_006814.3	CP000033.3	GCF_000011985.1_ASM1198v1	11	Lactobacillus acidophilus NCFM	Isolate	Bacteria	Firmicutes	Bacilli	Lactobacillales	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus acidophilus
				2508949	N/A	N/A	NZ_SDOZ00000000.1	SDOZ00000000.1	GCF_004134775.1_ASM413477v1	11	Candidatus Borkfalkia ceftriaxoniphila HDS1380	MAG / Purified cells	Bacteria	Firmicutes	Clostridia	Candidatus Borkfalkiales	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Candidatus Borkfalkiales; Candidatus Borkfalkiaceae; Candidatus Borkfalkia
		19217/117113/2	GCF_000013285.1	195103	Go0000322	637000077	NC_008261.1	CP000246.1	GCF_000013285.1_ASM1328v1	11	Clostridium perfringens ATCC 13124	Isolate	Bacteria	Firmicutes	Clostridia	Clostridiales	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium perfringens
		19217/72986/14	GCF_000165465.1	572479	Go0003611	650377948	NC_017455.1	CP002175.1	GCF_000165465.1_ASM16546v1	11	Halanaerobium praevalens DSM 2228	Isolate	Bacteria	Firmicutes	Clostridia	Halanaerobiales	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Halanaerobiales; Halanaerobiaceae; Halanaerobium; Halanaerobium praevalens
		19217/106972/6	GCF_000020005.1	457570	Go0001894	642555142	NC_010718.1	CP001034.1	GCF_000020005.1_ASM2000v1	11	Natranaerobius thermophilus JW/NM-WN-LF	Isolate	Bacteria	Firmicutes	Clostridia	Natranaerobiales	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Natranaerobiales; Natranaerobiaceae; Natranaerobius; Natranaerobius thermophilus
				589861	Go0004568	645058764	NZ_CP033580.1	CP033580.1	GCF_003722315.1_ASM372231v1	11	Thermoanaerobacter ethanolicus CCSD1	Isolate	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; Thermoanaerobacter ethanolicus
		19217/72416/13	GCF_000687835.1	1408417	Go0018543	2558860159	NZ_JHYB00000000.1	JHYB00000000.1	GCF_000687835.1_ASM68783v1	4	Acholeplasma modicum ATCC 29102	Isolate	Bacteria	Tenericutes	Mollicutes		cellular organisms; Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma; Acholeplasma modicum
		19217/164124/4	GCF_000746255.1	161156	Go0044192	2579779159	NZ_JQKW00000000.1	JQKW00000000.1	GCF_000746255.1_ASM74625v1		Thermodesulfobacterium hydrogeniphilum DSM 14290	Isolate	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria		cellular organisms; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfobacterium; Thermodesulfobacterium hydrogeniphilum
		19217/73076/14	GCF_000008545.1	243274	Go0010334	2519899531	NC_000853.1	AE000512.1	GCF_000008545.1_ASM854v1		Thermotoga maritima MSB8	Isolate	Bacteria	Thermotogae	Thermotogae		cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga; Thermotoga maritima
				1797291	N/A	2708742809	N/A	MEYH00000000.1	GCA_001773955.1_ASM177395v1		Candidatus Atribacteria bacterium RBG_19FT_COMBO_35_14	MAG	Bacteria	Candidatus Atribacteria	Candidatus Atribacteria		cellular organisms; Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Atribacteria; unclassified Atribacteria
				1655308	N/A	N/A	N/A	LDIV00000000.1	GCA_001468855.1_ASM146885v1		candidate division TM6 bacterium UASB124	MAG	Bacteria	TM6	TM6		cellular organisms; Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Dependentiae; unclassified Candidatus Dependentiae
				1805367	N/A	N/A	N/A	MNEF00000000.1	GCA_001917535.1_ASM191753v1		Candidatus Rokubacteria bacterium 13_1_40CM_69_27	MAG	Bacteria	Candidatus Rokubacteria	Candidatus Rokubacteria		cellular organisms; Bacteria; unclassified Bacteria; Bacteria candidate phyla; Candidatus Rokubacteria
		19217/194895/3	GCF_000008665.1	1344584	Go0102124	2588253768	NC_000917.1	AE000782.1	GCF_000008665.1_ASM866v1	11	Archaeoglobus fulgidus DSM 8774	Isolate	Archaea	Euryarchaeota	Archaeoglobi		cellular organisms; Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus; Archaeoglobus fulgidus
				2491083	N/A	N/A	N/A	RXIF00000000.1	GCA_004212075.1_ASM421207v1	11	Candidatus Methanoliparum thermophilum	MAG	Archaea	Euryarchaeota	Methanoliparia		cellular organisms; Archaea; Euryarchaeota; Candidatus Methanoliparia; Candidatus Methanoliparales; Candidatus Methanoliparaceae; Candidatus Methanoliparum
				1915863	N/A	N/A	N/A	DAVD00000000.1	GCA_002505405.1_ASM250540v1	11	Candidatus Poseidonia alphae	MAG	Archaea	Euryarchaeota	Diaforarchaea group: Poseidoniia		cellular organisms; Archaea; Euryarchaeota; Diaforarchaea group; Candidatus Poseidoniia; Candidatus Poseidoniales; Candidatus Poseidoniaceae; Candidatus Poseidonia
		19217/196101/3	GCF_000025665.1	439481	Go0004786	646564501	NC_013926.1	CP001941.1	GCF_000025665.1_ASM2566v1	11	Aciduliprofundum boonei T469	Isolate	Archaea	Euryarchaeota	Diaforarchaea group: DHVE2 group		cellular organisms; Archaea; Euryarchaeota; Diaforarchaea group; DHVE2 group; Aciduliprofundum; Aciduliprofundum boonei
		19217/195246/3	GCF_000195915.1	273075	Go0000752	638154521	NC_002578.1	AL139299.1	GCF_000195915.1_ASM19591v1	11	Thermoplasma acidophilum DSM 1728	Isolate	Archaea	Euryarchaeota	Diaforarchaea group: Thermoplasmata		cellular organisms; Archaea; Euryarchaeota; Diaforarchaea group; Thermoplasmata; Thermoplasmatales; Thermoplasmataceae; Thermoplasma; Thermoplasma acidophilum
				1776333	N/A	N/A	N/A	LQMP00000000.1	GCA_001515215.1_ASM619181v1	11	Hadesarchaea archaeon YNP_N21	MAG	Archaea	Euryarchaeota	Hadesarchaea		cellular organisms; Archaea; Euryarchaeota; Hadesarchaea; unclassified Hadesarchaea
		19217/195828/3	GCF_000145295.1	79929	Go0007732	648028041	NC_014408.1	CP001710.1	GCF_000145295.1_ASM14529v1	11	Methanothermobacter marburgensis str. Marburg	Isolate	Archaea	Euryarchaeota	Methanomada group: Methanobacteria		cellular organisms; Archaea; Euryarchaeota; Methanomada group; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter; Methanothermobacter marburgensis
		19217/194544/3	GCF_000091665.1	243232	Go0000789	638154505	NC_000909.1	L77117.1	GCF_000091665.1_ASM9166v1	11	Methanocaldococcus jannaschii DSM 2661	Isolate	Archaea	Euryarchaeota	Methanomada group: Methanococci		cellular organisms; Archaea; Euryarchaeota; Methanomada group; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus jannaschii
		19217/263458/3	GCF_002153915.1	1927129	Go0452544	2786546529	NZ_MRZU00000000.1	MRZU00000000.1	GCF_002153915.1_ASM215391v1	11	Methanonatronarchaeum thermophilum	Isolate	Archaea	Euryarchaeota	Methanonatronarchaeia		cellular organisms; Archaea; Euryarchaeota; Methanonatronarchaeia; Methanonatronarchaeales; Methanonatronarchaeaceae; Methanonatronarchaeum
				190192	Go0000700	638154507	NC_003551.1	AE009439.1	GCF_000007185.1_ASM718v1	11	Methanopyrus kandleri AV19	Isolate	Archaea	Euryarchaeota	Methanopyri		cellular organisms; Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Methanopyrus kandleri
				1737403	N/A	N/A	N/A	CP012986.1	GCA_001761425.1_ASM176142v1	11	Nanohaloarchaea archaeon SG9	MAG	Archaea	Euryarchaeota	Stenosarchaea group: Nanohaloarchaeota		cellular organisms; Archaea; Euryarchaeota; Stenosarchaea group; Candidatus Nanohaloarchaeota; Nanohaloarchaea; unclassified Nanohaloarchaea
		19217/194907/3	GCF_000006805.1	64091	Go0000749	638154504	NC_002607.1	AE004437.1	GCF_000006805.1_ASM680v1	11	Halobacterium salinarum NRC-1	Isolate	Archaea	Euryarchaeota	Stenosarchaea group: Halobacteria		cellular organisms; Archaea; Euryarchaeota; Stenosarchaea group; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium; Halobacterium salinarum
		19217/194568/3	GCF_000711215.1	694440	Go0003616	2571042922	NZ_JOMF00000000.1	JOMF00000000.1	GCF_000711215.1_ASM71121v1	11	Methanomicrobium mobile BP	Isolate	Archaea	Euryarchaeota	Stenosarchaea group: Methanomicrobia		cellular organisms; Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanomicrobium; Methanomicrobium mobile
				1803814	N/A	2740891984	N/A	LSSC00000000.1	GCA_001595815.1_ASM159581v1	11	Theionarchaea archaeon DG-70-1	MAG	Archaea	Euryarchaeota	Theionarchaea		cellular organisms; Archaea; Euryarchaeota; Theionarchaea; unclassified Theionarchaea
		19217/194965/3	GCF_000007305.1	1185654	Go0021534	2517093039	NC_003413.1	AE009950.1	GCF_000007305.1_ASM730v1	11	Pyrococcus furiosus COM1	Isolate	Archaea	Euryarchaeota	Thermococci		cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus; Pyrococcus furiosus
				2099668	N/A	N/A	N/A	PWGK00000000.1	GCA_003555245.1_ASM355524v1	11	candidate division MSBL1 archaeon	MAG	Archaea	Euryarchaeota	candidate division MSBL1		cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; candidate division MSBL1
				913322	Go0011598	2264867215	N/A	AQSC00000000.1	GCA_000402775.1_ASM40277v1	11	Euryarchaeota archaeon SCGC AAA252-I15	SAG	Archaea	Euryarchaeota	candidate division pMC2A384		cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; candidate division pMC2A384
				2077317	N/A	N/A	N/A	PSPL00000000.1	GCA_004195645.1_ASM419564v1	11	uncultured DHVE6 group euryarchaeote	MAG	Archaea	Euryarchaeota	DHVE6 group		cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; DHVE6 group; environmental samples
				743730	Go0010633	2264867065	N/A	ASMQ00000000.1	GCA_000405245.1_ASM40524v1	11	Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16	SAG	Archaea	DPANN: Aenigmarchaeota			cellular organisms; Archaea; DPANN group; Candidatus Aenigmarchaeota; Candidatus Aenigmarchaeum; Candidatus Aenigmarchaeum subterraneum
				2012506	N/A	N/A	N/A	NJEG00000000.1	GCA_002254565.1_ASM225456v1	11	Candidatus Altiarchaeales archaeon ex4484_2	MAG	Archaea	DPANN: Altiarchaeota			cellular organisms; Archaea; DPANN group; Candidatus Altiarchaeota; Candidatus Altiarchaeales; unclassified Candidatus Altiarchaeales
				1104576	Go0019039	2264867067	N/A	AQRS00000000.1	GCA_000402355.1_ASM40235v1	11	Candidatus Iainarchaeum andersonii SCGC AAA011-E11	SAG	Archaea	DPANN: Diapherotrites			cellular organisms; Archaea; DPANN group; Candidatus Diapherotrites; Candidatus Iainarchaeum; Candidatus Iainarchaeum andersonii
				2014257	N/A	2785510809	N/A	PEUT01000026.1	GCA_002780595.1_ASM278059v1	11	Candidatus Huberiarchaeum crystalense CG03_land_8_20_14_0_80_31_114	MAG	Archaea	DPANN: Huberarchaea			cellular organisms; Archaea; DPANN group; Candidatus Huberarchaea; Candidatus Huberiarchaeum
		19217/372754/2	GCF_002214165.1	1920749	Go0396215	2757320680	NZ_CP019964.1	CP019964.1	GCF_002214165.1_ASM221416v1	11	Candidatus Mancarchaeum acidiphilum Mia14	"Isolate" (co-culture)	Archaea	DPANN: Micrarchaeota			cellular organisms; Archaea; DPANN group; Candidatus Micrarchaeota; Candidatus Mancarchaeum
				2026773	N/A	N/A	N/A	NZDU00000000.1	GCA_002688875.1_ASM268887v1	11	Candidatus Pacearchaeota archaeon ARS103	MAG	Archaea	DPANN: Pacearchaeota			cellular organisms; Archaea; DPANN group; Candidatus Pacearchaeota
				1916008	N/A	N/A	N/A	DASS00000000.1	GCA_002503915.1_ASM250391v1	11	Candidatus Parvarchaeota archaeon UBA264	MAG	Archaea	DPANN: Parvarchaeota			cellular organisms; Archaea; DPANN group; Candidatus Parvarchaeota; unclassified Candidatus Parvarchaeota
				2012492	N/A	N/A	N/A	NJBG00000000.1	GCA_005222965.1_ASM522296v1	11	Candidatus Woesearchaeota archaeon B3_Woes	MAG	Archaea	DPANN: Woesearchaeota			cellular organisms; Archaea; DPANN group; Candidatus Woesearchaeota
				1577684	Go0114307	2681813051	N/A	CP010514.1	GCA_001552015.1_ASM155201v1	11	Candidatus Nanopusillus acidilobi	"Isolate" (co-culture)	Archaea	DPANN: Nanoarchaeota			cellular organisms; Archaea; DPANN group; Nanoarchaeota; Nanoarchaeales; Nanopusillaceae; Candidatus Nanopusillus
				1935129	N/A	2728369320	N/A	MTMF00000000.1	GCA_002011125.1_ASM201112v1	11	Candidatus Hydrothermarchaeota archaeon JdFR-18	MAG	Archaea	Hydrothermarchaeota			cellular organisms; Archaea; Candidatus Hydrothermarchaeota
				2012493	N/A	N/A	N/A	NJBF00000000.1	GCA_003144275.1_ASM314427v1	11	Candidatus Heimdallarchaeota archaeon B3_Heim	MAG	Archaea	Asgard group: Heimdallarchaeota			cellular organisms; Archaea; Asgard group; Candidatus Heimdallarchaeota
				2218537	N/A	N/A	N/A	SUPR00000000.1	GCA_005191425.1_ASM519142v1	11	Candidatus Helarchaeota ASGARD archaeon Hel_GB_B	MAG	Archaea	Asgard group: Helarchaeota			cellular organisms; Archaea; Asgard group; Candidatus Helarchaeota
				1538547	N/A	N/A	N/A	JYIM00000000.1	GCA_000986845.1_ASM98684v1	11	Lokiarchaeum sp. GC14_75	MAG	Archaea	Asgard group: Lokiarchaeota			cellular organisms; Archaea; Asgard group; Candidatus Lokiarchaeota; Lokiarchaeum; unclassified Lokiarchaeum
				2594042	N/A	N/A	NZ_CP042905.1	CP042905.1	GCF_008000775.1_ASM800077v1	11	anaerobic archaeon MK-D1	Isolate	Archaea	Asgard group: Lokiarchaeota			cellular organisms; Archaea; unclassified Archaea; unclassified Archaea (miscellaneous)
				1841599	N/A	2740891986	N/A	MDVT00000000.1	GCA_001940665.1_ASM194066v1	11	Candidatus Odinarchaeota archaeon LCB_4	MAG	Archaea	Asgard group: Odinarchaeota			cellular organisms; Archaea; Asgard group; Candidatus Odinarchaeota
				1706444	N/A	2740891977	N/A	LRSL00000000.1	GCA_001563335.1_ASM156333v1	11	Candidatus Thorarchaeota archaeon SMTZ1-45	MAG	Archaea	Asgard group: Thorarchaeota			cellular organisms; Archaea; Asgard group; Candidatus Thorarchaeota
				1685126	N/A	2654587960	N/A	LFWW00000000.1	GCA_001273385.1_ASM127338v1	11	miscellaneous Crenarchaeota group-6 archaeon AD8-1	MAG	Archaea	TACK Group: Bathyarchaeota			cellular organisms; Archaea; TACK group; Candidatus Bathyarchaeota; MCG-6
				N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Archaea	TACK Group: Geoarchaeota			
				1874277	N/A	N/A	N/A	AP018732.1	https://www.ncbi.nlm.nih.gov/nuccore/AP018732.1	11	Conexivisphaera calidus NAS-02	Isolate	Archaea	TACK Group: Geothermarchaeota			cellular organisms; Archaea; TACK group; Candidatus Geothermarchaeota; Conexivisphaera
		19217/196254/3	GCF_000019605.1	374847	Go0001753	641522611	NC_010482.1	CP000968.1	GCF_000019605.1_ASM1960v1	11	Candidatus Korarchaeum cryptofilum OPF8	MAG / Purified cells	Archaea	TACK Group: Korarchaeota			cellular organisms; Archaea; TACK group; Candidatus Korarchaeota; Candidatus Korarchaeum; Candidatus Korarchaeum cryptofilum
				1978159	N/A	N/A	N/A	NEXG00000000.1	GCA_003019535.1_ASM301953v1	11	Candidatus Marsarchaeota G2 archaeon ECH_B_1	MAG	Archaea	TACK Group: Marsarchaeota			cellular organisms; Archaea; TACK group; Candidatus Marsarchaeota; Candidatus Marsarchaeota group 2
				2546571	N/A	N/A	N/A	QNVF00000000.1	GCA_004347965.1_ASM434796v1	11	Candidatus Nezhaarchaeota archaeon WYZ-LMO8	MAG	Archaea	TACK Group: Nezhaarchaeota			cellular organisms; Archaea; TACK group; Candidatus Nezhaarchaeota
				1916020	N/A	N/A	N/A	DAZQ00000000.1	GCA_002507395.1_ASM250739v1	11	Candidatus Verstraetearchaeota archaeon UBA76	MAG	Archaea	TACK Group: Verstraetearchaeota			cellular organisms; Archaea; TACK group; Candidatus Verstraetearchaeota; unclassified Candidatus Verstraetearchaeota
